priority_rank,priority_score,exception_id,exception_status,severity,assigned_team,policy_action,amount_at_risk,overdue_days,investigation_confidence
1,267.15,EX-25da8e387a,PARTIAL_PAYMENT,CRITICAL,Customer Support,SENIOR_REVIEW,4771740.22,0,1.0
2,264.87,EX-d481046438,PARTIAL_PAYMENT,CRITICAL,Customer Support,MANUAL_REVIEW,1765136.0,0,0.0
3,259.55,EX-1bb8b95088,PARTIAL_PAYMENT,CRITICAL,Customer Support,SENIOR_REVIEW,3080758.81,0,1.0
4,253.63,EX-ab8bd181da,PARTIAL_PAYMENT,CRITICAL,Customer Support,SENIOR_REVIEW,2191873.58,0,1.0
5,252.22,EX-8f0e5e07f7,PARTIAL_PAYMENT,CRITICAL,Customer Support,MANUAL_REVIEW,852198.03,0,0.0
6,231.52,EX-a5c4fe8356,PARTIAL_PAYMENT,CRITICAL,Customer Support,SENIOR_REVIEW,613747.65,0,1.0
7,162.27,EX-c40f8ab353,PARTIAL_PAYMENT,HIGH,Customer Support,SENIOR_REVIEW,256413.78,0,1.0
8,99.48,EX-e4bfda3f50,PARTIAL_PAYMENT,MEDIUM,Customer Support,FINANCE_REVIEW,94216.26,0,1.0
9,31.97,EX-58c32d5891,AMOUNT_MISMATCH,LOW,Finance Review,MANUAL_REVIEW,48.75,0,0.0
10,31.38,EX-aead05042d,AMOUNT_MISMATCH,LOW,Finance Review,MANUAL_REVIEW,42.41,0,0.0
11,31.19,EX-9e05a116b1,AMOUNT_MISMATCH,LOW,Finance Review,MANUAL_REVIEW,40.55,0,0.0
12,30.95,EX-284ca08662,AMOUNT_MISMATCH,LOW,Finance Review,MANUAL_REVIEW,38.37,0,0.0
13,29.79,EX-284d4c2a68,AMOUNT_MISMATCH,LOW,Finance Review,MANUAL_REVIEW,29.13,0,0.0
14,28.01,EX-23ccbbf140,AMOUNT_MISMATCH,LOW,Finance Review,MANUAL_REVIEW,19.01,0,0.0
15,21.02,EX-0002,PARTIAL_PAYMENT,MEDIUM,Customer Support,,,,0.0
16,21.02,EX-0003,PARTIAL_PAYMENT,MEDIUM,Customer Support,,,,0.0
17,21.02,EX-0004,PARTIAL_PAYMENT,MEDIUM,Customer Support,,,,0.0
18,21.02,EX-0005,PARTIAL_PAYMENT,MEDIUM,Customer Support,,,,0.0
19,16.38,EX-da9b62b69d,AMOUNT_MISMATCH,LOW,Finance Review,FINANCE_REVIEW,42.42,0,1.0
20,12.04,EX-0001,PARTIAL_PAYMENT,CRITICAL,Customer Support,,,,1.0
